id,disease,location,hospital_name,age_group,treatment_type,budget,total_patient,successful_patients,success_rate,rating
45,Heart Disease,Tarn Taran,Tarn Taran Multicare Hospital,Senior Citizen,Emergency Care,294239,3553,3279,92.29,2.5
46,Kidney Disease,Jalandhar,Jalandhar Multicare Centre,Child,Dialysis,310402,4576,3048,66.61,3.6
47,Tuberculosis,Ludhiana,Ludhiana Prime Hospital,Child,Dialysis,115140,2094,1938,92.55,2.8
48,Liver Disease,Kapurthala,Kapurthala Prime Healthcare,Senior Citizen,Physiotherapy,490366,1989,1359,68.33,4.9
49,Diabetes,Mohali,Mohali Multicare Hospital,Teenager,Dialysis,415195,3422,2561,74.84,3.2
50,Dengue,Abohar,Abohar City Hospital,Child,Emergency Care,121619,1684,1481,87.95,3.4
51,Diabetes,Pathankot,Pathankot Health Centre,Senior Citizen,Chemotherapy,213910,2739,2213,80.8,4.7
52,Cancer,Gurdaspur,Gurdaspur Multicare Hospital,Middle Age,Vaccination,361263,4442,3343,75.26,4.8
53,Heart Disease,Patiala,Patiala Prime Healthcare,Middle Age,Radiotherapy,25057,938,867,92.43,3.6
54,Dengue,Malerkotla,Malerkotla Multicare Hospital,Middle Age,ICU Care,65631,3205,3103,96.82,3.0
55,Diabetes,Ludhiana,Ludhiana Healthcare Centre,Middle Age,ICU Care,365110,1664,1370,82.33,3.6
56,Liver Disease,Khanna,Khanna Multicare Hospital,Young Adult,Surgery,382358,2510,2025,80.68,3.3
57,Dengue,Sangrur,Sangrur Multicare Hospital,Senior Citizen,Radiotherapy,295671,1092,753,68.96,3.6
58,Liver Disease,Barnala,Barnala Health Centre,Middle Age,Radiotherapy,217900,4538,4429,97.6,2.5
59,Dengue,Firozpur,Firozpur Health Centre,Middle Age,Counselling,348254,2689,2565,95.39,3.6
60,Kidney Disease,Khanna,Khanna Health Centre,Adult,Physiotherapy,350427,744,591,79.44,3.8
61,Hypertension,Tarn Taran,Tarn Taran Multicare Hospital,Teenager,Radiotherapy,122776,1681,1158,68.89,2.6
62,Liver Disease,Pathankot,Pathankot Prime Hospital,Child,Emergency Care,222286,4765,3257,68.35,4.3
63,Dengue,Barnala,Barnala Prime Hospital,Teenager,Physiotherapy,348963,95,63,66.32,4.4
64,Arthritis,Pathankot,Pathankot Health Centre,Senior Citizen,ICU Care,248557,461,418,90.67,3.1
65,Heart Disease,Patiala,Patiala General Hospital,Adult,ICU Care,298037,4927,3605,73.17,4.9
66,Malaria,Mansa,Mansa Prime Hospital,Middle Age,Emergency Care,475395,1353,1297,95.86,3.6
67,Arthritis,Pathankot,Pathankot Multicare Hospital,Middle Age,Emergency Care,333596,2009,1486,73.97,3.6
68,Asthma,Abohar,Abohar Multicare Hospital,Young Adult,Dialysis,172619,4474,2849,63.68,2.8
69,COVID-19,Pathankot,Pathankot Prime Hospital,Teenager,Chemotherapy,38674,3448,2902,84.16,3.3
70,Diabetes,Mansa,Mansa Prime Hospital,Teenager,Vaccination,209198,4834,4324,89.45,2.5
71,Typhoid,Rupnagar,Rupnagar Prime Hospital,Child,Dialysis,161559,3244,2804,86.44,3.8
72,Typhoid,Malerkotla,Malerkotla Health Centre,Teenager,Radiotherapy,233503,4028,2475,61.44,3.5
73,COVID-19,Khanna,Khanna Prime Healthcare,Teenager,Emergency Care,487104,1095,975,89.04,3.8
74,Liver Disease,Barnala,Barnala Life Care Centre,Senior Citizen,Medication,49012,3561,2413,67.76,4.7
75,Pneumonia,Mohali,Mohali Multispeciality Hospital,Adult,Dialysis,115970,3774,2933,77.72,3.3
76,Arthritis,Barnala,Barnala Multicare Hospital,Adult,Radiotherapy,442733,720,672,93.33,2.5
77,Tuberculosis,Kapurthala,Kapurthala City Hospital,Teenager,Surgery,414591,379,234,61.74,4.9
78,Diabetes,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Middle Age,Physiotherapy,130066,1084,892,82.29,4.2
79,Typhoid,Rupnagar,Rupnagar Health Centre,Senior Citizen,Radiotherapy,407075,3071,2185,71.15,4.0
80,Arthritis,Malerkotla,Malerkotla City Hospital,Teenager,Radiotherapy,61674,4790,2926,61.09,4.8
81,Dengue,Rupnagar,Rupnagar Prime Hospital,Senior Citizen,Chemotherapy,44844,4900,4354,88.86,4.6
82,COVID-19,Pathankot,Pathankot City Hospital,Young Adult,Counselling,427328,1041,1031,99.04,5.0
83,Kidney Disease,Ludhiana,Ludhiana Life Hospital,Adult,Dialysis,41153,4194,3842,91.61,3.4
84,Hypertension,Sangrur,Sangrur Prime Healthcare,Adult,Dialysis,338229,3816,3737,97.93,2.9
85,Liver Disease,Mohali,Mohali Life Care Hospital,Middle Age,Emergency Care,248727,3618,3383,93.5,3.2
86,Pneumonia,Pathankot,Pathankot City Hospital,Adult,Chemotherapy,398465,3856,3480,90.25,4.0
87,Diabetes,Barnala,Barnala Multicare Hospital,Adult,Dialysis,100336,4044,2860,70.72,3.4
88,Pneumonia,Gurdaspur,Gurdaspur Multicare Hospital,Middle Age,Radiotherapy,296394,133,112,84.21,4.9
89,COVID-19,Jalandhar,Jalandhar Prime Hospital,Adult,Emergency Care,296072,2018,1917,95.0,3.7
90,Typhoid,Abohar,Abohar Prime Hospital,Child,Surgery,159264,1865,1533,82.2,4.2
91,Tuberculosis,Firozpur,Firozpur Life Care Hospital,Adult,ICU Care,283355,2866,2590,90.37,5.0
92,Tuberculosis,Kapurthala,Kapurthala Multicare Hospital,Senior Citizen,Emergency Care,147038,2561,2050,80.05,3.1
93,Tuberculosis,Malerkotla,Malerkotla Health Centre,Child,ICU Care,404606,1566,1135,72.48,3.0
94,COVID-19,Muktsar,Muktsar Multicare Hospital,Middle Age,ICU Care,317890,2368,1522,64.27,4.6
95,Tuberculosis,Firozpur,Firozpur Health Centre,Teenager,Radiotherapy,12417,4425,2914,65.85,3.2
96,COVID-19,Ludhiana,Ludhiana Prime Hospital,Teenager,Emergency Care,58785,150,126,84.0,3.2
97,Tuberculosis,Muktsar,Muktsar Prime Healthcare,Teenager,Medication,137371,3963,2610,65.86,4.6
98,Hypertension,Barnala,Barnala Prime Hospital,Middle Age,Medication,84548,1272,1178,92.61,3.9
99,Asthma,Firozpur,Firozpur City Hospital,Child,ICU Care,405788,3459,3316,95.87,4.0
100,Arthritis,Nawanshahr,Nawanshahr Health Centre,Middle Age,Vaccination,241199,3676,2813,76.52,4.7
101,Liver Disease,Sangrur,Sangrur Multicare Hospital,Middle Age,Medication,324622,862,623,72.27,4.1
102,Heart Disease,Gurdaspur,Gurdaspur City Hospital,Teenager,Physiotherapy,294402,664,478,71.99,2.5
103,Pneumonia,Mansa,Mansa Prime Hospital,Child,Chemotherapy,156049,2366,2138,90.36,4.6
104,Thyroid Disorder,Jalandhar,Jalandhar Prime Hospital,Young Adult,Counselling,351650,1670,1437,86.05,2.8
105,Thyroid Disorder,Pathankot,Pathankot Health Centre,Young Adult,Physiotherapy,42439,538,364,67.66,4.5
106,Typhoid,Nawanshahr,Nawanshahr Multicare Hospital,Child,Emergency Care,366065,2541,2240,88.15,3.5
107,Kidney Disease,Gurdaspur,Gurdaspur Life Care Hospital,Adult,Emergency Care,47174,4949,3050,61.63,4.7
108,Liver Disease,Malerkotla,Malerkotla Multicare Hospital,Young Adult,Medication,52881,1925,1845,95.84,4.6
109,Arthritis,Rupnagar,Rupnagar City Hospital,Senior Citizen,Radiotherapy,307119,379,271,71.5,3.7
110,Thyroid Disorder,Tarn Taran,Tarn Taran Prime Hospital,Young Adult,Physiotherapy,311881,3620,3472,95.91,4.5
111,Tuberculosis,Jalandhar,Jalandhar Healthcare Hospital,Adult,Dialysis,173326,906,625,68.98,3.3
112,Pneumonia,Abohar,Abohar Prime Hospital,Senior Citizen,Vaccination,431542,4556,2808,61.63,3.6
113,Tuberculosis,Faridkot,Faridkot Multicare Hospital,Child,Vaccination,458462,4265,4248,99.6,5.0
114,Dengue,Khanna,Khanna Prime Healthcare,Child,Chemotherapy,276811,3013,2827,93.83,4.1
115,Pneumonia,Ludhiana,Ludhiana Multicare Hospital,Middle Age,Physiotherapy,491367,2409,1893,78.58,4.7
116,Diabetes,Muktsar,Muktsar City Hospital,Senior Citizen,Counselling,424070,2010,1932,96.12,2.9
117,Kidney Disease,Kapurthala,Kapurthala City Hospital,Adult,Surgery,122807,979,823,84.07,4.9
118,Typhoid,Tarn Taran,Tarn Taran Health Centre,Senior Citizen,Radiotherapy,271795,2289,1798,78.55,4.6
119,Typhoid,Muktsar,Muktsar Health Centre,Middle Age,Physiotherapy,206109,1611,1579,98.01,3.8
120,Hypertension,Bathinda,Bathinda Advanced Hospital,Young Adult,Vaccination,183192,4209,3072,72.99,4.6
121,Malaria,Firozpur,Firozpur Multicare Hospital,Middle Age,Counselling,350999,4061,2740,67.47,3.6
122,Tuberculosis,Muktsar,Muktsar Multicare Hospital,Middle Age,ICU Care,202766,3780,2927,77.43,4.7
123,Liver Disease,Abohar,Abohar Health Centre,Adult,Chemotherapy,453797,3415,2138,62.61,3.3
124,Dengue,Muktsar,Muktsar Prime Healthcare,Senior Citizen,Physiotherapy,264694,353,243,68.84,3.8
125,Malaria,Rupnagar,Rupnagar Multicare Hospital,Child,Emergency Care,57277,4358,3549,81.44,2.5
126,Malaria,Bathinda,Bathinda Prime Healthcare,Senior Citizen,Physiotherapy,44231,3896,2879,73.9,3.3
127,Cancer,Abohar,Abohar Prime Hospital,Child,Dialysis,451872,4421,3430,77.58,4.9
128,Malaria,Tarn Taran,Tarn Taran Prime Hospital,Middle Age,Medication,328726,610,426,69.84,4.1
129,COVID-19,Firozpur,Firozpur Health Centre,Child,Vaccination,56612,873,750,85.91,2.9
130,Diabetes,Firozpur,Firozpur City Hospital,Young Adult,Medication,158809,2986,2558,85.67,3.6
131,Dengue,Pathankot,Pathankot Life Care Centre,Middle Age,Physiotherapy,94120,1484,970,65.36,4.0
132,Cancer,Barnala,Barnala Life Care Centre,Teenager,Emergency Care,483585,4827,3189,66.07,3.1
133,Typhoid,Tarn Taran,Tarn Taran Multicare Hospital,Young Adult,Medication,476286,3861,2905,75.24,4.2
134,Typhoid,Mohali,Mohali City Hospital,Young Adult,Counselling,161842,3525,2627,74.52,3.6
135,Dengue,Firozpur,Firozpur Health Centre,Adult,Surgery,129364,3174,3075,96.88,3.4
136,Diabetes,Firozpur,Firozpur Multicare Hospital,Senior Citizen,Vaccination,148906,116,105,90.52,4.7
137,Thyroid Disorder,Malerkotla,Malerkotla City Hospital,Middle Age,Emergency Care,441647,2394,2230,93.15,4.5
138,Asthma,Nawanshahr,Nawanshahr Multicare Hospital,Senior Citizen,Chemotherapy,330525,2103,1955,92.96,4.4
139,Cancer,Khanna,Khanna Health Centre,Child,Medication,166969,3661,2264,61.84,3.9
140,Hypertension,Malerkotla,Malerkotla Health Centre,Young Adult,Dialysis,396895,3453,2430,70.37,3.0
141,Kidney Disease,Kapurthala,Kapurthala Multicare Hospital,Middle Age,Radiotherapy,440406,1397,1101,78.81,4.8
142,COVID-19,Muktsar,Muktsar Multicare Hospital,Young Adult,Surgery,250540,666,471,70.72,4.4
143,Malaria,Pathankot,Pathankot Prime Hospital,Middle Age,Dialysis,52344,3282,1997,60.85,3.2
144,Tuberculosis,Patiala,Patiala General Hospital,Senior Citizen,Radiotherapy,311477,3171,2662,83.95,2.8
145,Diabetes,Pathankot,Pathankot Prime Hospital,Middle Age,ICU Care,176969,1863,1780,95.54,2.7
146,Cancer,Mansa,Mansa Multicare Hospital,Adult,Surgery,78283,421,261,62.0,3.3
147,Hypertension,Muktsar,Muktsar City Hospital,Teenager,ICU Care,76127,3233,2868,88.71,3.4
148,Liver Disease,Malerkotla,Malerkotla Prime Healthcare,Senior Citizen,Physiotherapy,469211,3448,3409,98.87,2.7
149,Pneumonia,Muktsar,Muktsar Prime Healthcare,Child,Dialysis,118911,3682,3119,84.71,4.9
150,Cancer,Moga,Moga City Hospital,Young Adult,ICU Care,477748,2988,1916,64.12,3.5
151,Malaria,Hoshiarpur,Hoshiarpur Civil Hospital,Adult,Surgery,352481,1787,1729,96.75,4.1
152,Arthritis,Amritsar,Amritsar Health Hospital,Young Adult,Chemotherapy,71020,4675,3225,68.98,2.7
153,Liver Disease,Kapurthala,Kapurthala Health Centre,Teenager,Chemotherapy,177259,1258,1157,91.97,4.8
154,Malaria,Amritsar,Amritsar Life Care Centre,Teenager,Physiotherapy,288228,2103,2078,98.81,2.9
155,Heart Disease,Khanna,Khanna City Hospital,Child,Dialysis,419179,1999,1801,90.1,3.3
156,Diabetes,Mohali,Mohali Life Care Hospital,Teenager,Vaccination,280820,981,969,98.78,2.7
157,Kidney Disease,Mansa,Mansa Multicare Hospital,Middle Age,Surgery,241981,4177,2959,70.84,4.9
158,Typhoid,Ludhiana,Ludhiana Prime Hospital,Senior Citizen,Medication,36890,3973,3205,80.67,3.6
159,COVID-19,Patiala,Patiala General Hospital,Adult,Surgery,476474,711,590,82.98,4.0
160,Pneumonia,Jalandhar,Jalandhar Multicare Centre,Middle Age,Counselling,292496,2713,2407,88.72,5.0
161,Typhoid,Fazilka,Fazilka Multicare Hospital,Middle Age,Counselling,230548,862,575,66.71,4.6
162,Dengue,Tarn Taran,Tarn Taran Health Centre,Adult,Chemotherapy,221957,2826,2623,92.82,3.5
163,Tuberculosis,Malerkotla,Malerkotla City Hospital,Adult,Dialysis,353708,2138,1665,77.88,4.9
164,Hypertension,Khanna,Khanna Prime Healthcare,Child,Surgery,53879,3587,2349,65.49,4.4
165,Kidney Disease,Moga,Moga Health Centre,Child,Counselling,299433,4651,3465,74.5,4.2
166,Malaria,Sangrur,Sangrur Multicare Hospital,Senior Citizen,Vaccination,460130,471,355,75.37,4.0
167,Liver Disease,Moga,Moga City Hospital,Middle Age,Chemotherapy,86123,4000,2859,71.47,4.6
168,Tuberculosis,Moga,Moga Life Care Hospital,Child,Radiotherapy,305993,1902,1580,83.07,4.6
169,Liver Disease,Nawanshahr,Nawanshahr City Hospital,Senior Citizen,Radiotherapy,20179,1527,1195,78.26,4.3
170,Tuberculosis,Firozpur,Firozpur Multicare Hospital,Child,Physiotherapy,461058,1223,1022,83.57,4.1
171,COVID-19,Jalandhar,Jalandhar Multicare Centre,Senior Citizen,Medication,53107,4395,3077,70.01,3.4
172,Heart Disease,Mansa,Mansa Multicare Hospital,Young Adult,Radiotherapy,383324,2707,1797,66.38,4.7
173,Arthritis,Bathinda,Bathinda City Hospital,Middle Age,Medication,358353,718,569,79.25,3.6
174,Liver Disease,Sangrur,Sangrur Prime Healthcare,Adult,Vaccination,148218,1815,1613,88.87,2.8
175,Pneumonia,Sangrur,Sangrur City Hospital,Senior Citizen,Counselling,260135,4366,3985,91.27,3.3
176,Liver Disease,Pathankot,Pathankot Prime Hospital,Child,Medication,112176,2519,2479,98.41,3.0
177,Pneumonia,Bathinda,Bathinda Advanced Hospital,Young Adult,Dialysis,67906,113,98,86.73,4.4
178,Dengue,Mohali,Mohali Advanced Hospital,Middle Age,Chemotherapy,267281,4627,4482,96.87,4.2
179,Dengue,Moga,Moga City Hospital,Senior Citizen,Medication,233704,203,179,88.18,4.8
180,Dengue,Faridkot,Faridkot Life Care Centre,Middle Age,Vaccination,376981,3471,2674,77.04,2.8
181,Heart Disease,Amritsar,Amritsar Advanced Hospital,Middle Age,Emergency Care,441221,3014,1988,65.96,3.6
182,Dengue,Patiala,Patiala Health Centre,Middle Age,Vaccination,279707,694,618,89.05,4.7
183,Asthma,Malerkotla,Malerkotla Multicare Hospital,Young Adult,Physiotherapy,45044,4231,3834,90.62,2.8
184,Thyroid Disorder,Fazilka,Fazilka Health Centre,Young Adult,Dialysis,386356,1259,875,69.5,2.8
185,Heart Disease,Gurdaspur,Gurdaspur Health Centre,Middle Age,Physiotherapy,403571,667,490,73.46,4.9
186,Typhoid,Tarn Taran,Tarn Taran Prime Hospital,Middle Age,Counselling,240355,4674,4120,88.15,4.1
187,Malaria,Nawanshahr,Nawanshahr Multicare Hospital,Senior Citizen,Dialysis,84145,3652,2330,63.8,3.7
188,Arthritis,Tarn Taran,Tarn Taran Multicare Hospital,Young Adult,Counselling,34450,2933,2798,95.4,2.7
189,Diabetes,Mansa,Mansa Prime Hospital,Child,Dialysis,441048,2401,1518,63.22,4.1
190,Typhoid,Jalandhar,Jalandhar Advanced Medical Centre,Middle Age,ICU Care,420140,386,346,89.64,4.8
191,Tuberculosis,Rupnagar,Rupnagar Health Centre,Middle Age,Emergency Care,267860,1285,834,64.9,3.6
192,Kidney Disease,Faridkot,Faridkot City Hospital,Senior Citizen,Physiotherapy,25521,2079,1971,94.81,3.6
193,Tuberculosis,Mansa,Mansa Health Centre,Young Adult,Radiotherapy,208117,3398,2730,80.34,4.2
194,Hypertension,Ludhiana,Ludhiana Life Hospital,Young Adult,Surgery,297533,3216,2510,78.05,3.1
195,Tuberculosis,Khanna,Khanna Health Centre,Child,Counselling,352923,1208,1193,98.76,3.4
196,Heart Disease,Tarn Taran,Tarn Taran Prime Hospital,Middle Age,Surgery,167310,4628,3547,76.64,4.1
197,Cancer,Faridkot,Faridkot Health Centre,Senior Citizen,ICU Care,53996,3518,3151,89.57,3.4
198,Heart Disease,Moga,Moga Multicare Hospital,Teenager,Dialysis,406686,4033,2812,69.72,3.1
199,Hypertension,Bathinda,Bathinda City Hospital,Young Adult,Surgery,271175,4471,4392,98.23,4.3
200,Cancer,Fazilka,Fazilka City Hospital,Young Adult,Counselling,73707,4942,3736,75.6,2.9
201,COVID-19,Mohali,Mohali Advanced Hospital,Adult,Medication,220408,3034,2306,76.01,4.9
202,Arthritis,Nawanshahr,Nawanshahr Multicare Hospital,Senior Citizen,Emergency Care,127684,4424,3143,71.04,3.3
203,Tuberculosis,Muktsar,Muktsar Health Centre,Senior Citizen,Counselling,235999,3832,2876,75.05,4.4
204,Heart Disease,Fazilka,Fazilka Prime Hospital,Teenager,Counselling,77560,2098,1311,62.49,4.1
205,Thyroid Disorder,Moga,Moga Life Care Hospital,Child,ICU Care,451256,1071,787,73.48,2.7
206,Typhoid,Mohali,Mohali Life Care Hospital,Middle Age,Physiotherapy,440707,3633,2366,65.13,4.9
207,Thyroid Disorder,Pathankot,Pathankot Prime Hospital,Young Adult,Medication,222525,486,392,80.66,3.8
208,Hypertension,Pathankot,Pathankot Prime Hospital,Young Adult,Chemotherapy,19778,2660,1798,67.59,4.6
209,Arthritis,Tarn Taran,Tarn Taran Multicare Hospital,Teenager,Physiotherapy,25081,2400,2379,99.12,4.6
210,Arthritis,Abohar,Abohar Health Centre,Senior Citizen,Emergency Care,240196,93,60,64.52,2.5
211,Heart Disease,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Middle Age,Counselling,281704,3517,2337,66.45,4.4
212,Hypertension,Pathankot,Pathankot Multicare Hospital,Child,Chemotherapy,225109,3794,2404,63.36,2.8
213,Cancer,Muktsar,Muktsar City Hospital,Middle Age,Counselling,131845,1226,884,72.1,3.6
214,Asthma,Nawanshahr,Nawanshahr Multicare Hospital,Middle Age,Vaccination,103206,751,718,95.61,4.9
215,Dengue,Jalandhar,Jalandhar Care Hospital,Adult,Medication,338274,3219,2695,83.72,3.1
216,Arthritis,Amritsar,Amritsar Advanced Hospital,Child,Dialysis,131419,899,836,92.99,4.3
217,Diabetes,Faridkot,Faridkot Health Centre,Young Adult,ICU Care,182496,1484,1365,91.98,5.0
218,Arthritis,Muktsar,Muktsar Health Centre,Teenager,Surgery,380413,3799,2354,61.96,3.2
219,Thyroid Disorder,Ludhiana,Ludhiana Multicare Hospital,Child,Dialysis,494355,2590,2369,91.47,5.0
220,Pneumonia,Kapurthala,Kapurthala Prime Healthcare,Child,Chemotherapy,155004,2974,1881,63.25,4.7
221,Hypertension,Faridkot,Faridkot Multicare Hospital,Young Adult,Vaccination,471347,3326,2895,87.04,4.7
222,Heart Disease,Barnala,Barnala Multicare Hospital,Adult,Emergency Care,197595,4303,3127,72.67,4.5
223,Hypertension,Malerkotla,Malerkotla Prime Healthcare,Adult,Counselling,436143,1528,1474,96.47,3.2
224,Tuberculosis,Patiala,Patiala City Hospital,Senior Citizen,Radiotherapy,165692,3702,3455,93.33,4.3
225,Tuberculosis,Mohali,Mohali Healthcare Point,Adult,Medication,386060,2938,2652,90.27,3.2
226,Cancer,Ludhiana,Ludhiana City Hospital,Senior Citizen,Vaccination,195479,4253,4191,98.54,4.4
227,Heart Disease,Mohali,Mohali Multispeciality Hospital,Middle Age,Emergency Care,23244,1084,684,63.1,3.1
228,Tuberculosis,Tarn Taran,Tarn Taran Multicare Hospital,Adult,Counselling,21979,1306,1243,95.18,4.9
229,Arthritis,Moga,Moga Prime Healthcare,Child,Counselling,77191,4387,3383,77.11,3.5
230,Asthma,Tarn Taran,Tarn Taran Multicare Hospital,Child,Medication,390705,1574,1455,92.44,3.8
231,Pneumonia,Kapurthala,Kapurthala City Hospital,Young Adult,Emergency Care,117496,2389,2143,89.7,4.8
232,Hypertension,Muktsar,Muktsar Health Centre,Teenager,Surgery,242000,1464,1333,91.05,5.0
233,Cancer,Khanna,Khanna Multicare Hospital,Young Adult,Surgery,293356,4491,3288,73.21,4.7
234,Arthritis,Mohali,Mohali Advanced Hospital,Young Adult,ICU Care,122567,1044,728,69.73,4.5
235,Diabetes,Pathankot,Pathankot Prime Hospital,Young Adult,ICU Care,305038,3072,2800,91.15,4.5
236,Liver Disease,Kapurthala,Kapurthala Health Centre,Child,Surgery,167157,3311,2966,89.58,3.8
237,Hypertension,Sangrur,Sangrur Life Care Centre,Teenager,Dialysis,341770,657,624,94.98,3.7
238,Heart Disease,Fazilka,Fazilka Multicare Hospital,Middle Age,Counselling,100401,1107,885,79.95,3.8
239,Kidney Disease,Ludhiana,Ludhiana City Hospital,Teenager,Radiotherapy,91327,1376,1155,83.94,4.8
240,Kidney Disease,Pathankot,Pathankot Multicare Hospital,Young Adult,Surgery,136389,1658,1644,99.16,4.9
241,Cancer,Gurdaspur,Gurdaspur Health Centre,Young Adult,Counselling,284696,815,746,91.53,4.1
242,Heart Disease,Rupnagar,Rupnagar Health Centre,Senior Citizen,Counselling,382819,2815,1773,62.98,4.6
243,Diabetes,Amritsar,Amritsar City Hospital,Senior Citizen,Counselling,143755,1776,1650,92.91,3.5
244,Typhoid,Tarn Taran,Tarn Taran City Hospital,Senior Citizen,ICU Care,156871,2524,2008,79.56,3.1
245,Pneumonia,Khanna,Khanna Prime Healthcare,Adult,Surgery,366031,540,364,67.41,3.6
246,Asthma,Muktsar,Muktsar Prime Healthcare,Young Adult,Counselling,80323,2610,2219,85.02,4.3
247,Heart Disease,Moga,Moga Prime Healthcare,Young Adult,ICU Care,299466,919,714,77.69,3.1
248,Typhoid,Patiala,Patiala Prime Healthcare,Teenager,Physiotherapy,55757,464,352,75.86,4.9
